,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph
108,1015How does a robotic arm assemble a car?,1015,Describe how to make a cake.,Engineering,Engineering,How does a robotic arm assemble a car?,Robotics Engineering,"(flour, combine with, butter) like (gears, combine with, motors). (eggs, mix with, sugar) like (sensors, mix with, computers). (baking powder, rises, dough) like (programming, rises, functionality)","To make a cake, start by combining flour with butter until it forms a crumbly texture. Then mix eggs with sugar until it becomes a thick paste. Add baking powder to the mixture and stir until it is well blended. The baking powder will help the dough to rise. Finally, bake the cake in the oven, and enjoy your delicious creation.",The robotic arm is made up of gears that combine with motors to move the arm in a precise manner. Sensors are also used to mix with computers to track the movements of the arm. The programming of the robotic arm is what ultimately rises its functionality and helps it to assemble the car.
119,915How is a virus transmitted from one person to another?,915,How is sediment transported across the Earth?,Natural Sciences,Biomedical and Health Sciences,How is a virus transmitted from one person to another?,Biomedical and Health Sciences,"(sediment, carried by, wind) like (virus, spread by, contact). (sediment, deposited by, ocean) like (virus, transmitted by, saliva). (sediment, eroded by, rain) like (virus, transmitted by, air)","Sediment can be transported across the Earth in a variety of ways. Wind is a major factor in sediment transportation, as it carries sediment from one location to another. Sediment can also be deposited by the ocean, which transports sediment from the shore to deeper waters. Additionally, sediment can be eroded by rain, which can wash away sediment over time.","A virus is typically spread by contact with an infected individual. The virus is usually transmitted by saliva or air from the infected person. It is also possible for the virus to be transmitted through inanimate objects, such as doorknobs or other surfaces that the infected person has touched."
130,1091Describe the typical steps of a seed germination process.,1091,Describe the typical steps in a kid's birthday party.,Social Sciences,Natural Sciences,Describe the typical steps of a seed germination process.,Natural Sciences,"(invite guests, announce, party) like (water, activate, seed). (buy decorations, decorate, room) like (soil, provide, nutrients). (plan activities, entertain, children) like (light, trigger, germination)","The typical steps in a kid's birthday party involve inviting guests to announce the party. Decorations should be purchased and used to decorate the room. Activities should also be planned to entertain the children. This could involve playing games, watching movies, and doing crafts with the kids. Finally, food should be served and cake should be cut to celebrate the birthday.","The seed germination process typically begins with the activation of the seed by water. The soil provides the necessary nutrients for the seed to grow. Once the seed is activated, the presence of light can trigger the germination process. The light encourages the seed to begin growing and developing, leading to the emergence of a new plant."
131,485Describe the process of replicating a DNA molecule,485,Describe the process of writing and posting a letter,Social Sciences,Natural Sciences,Describe the process of replicating a DNA molecule,Biomedical and Health Sciences,"(pen, write, letter) like (enzymes, replicate, DNA molecule). (stamp, affix, envelope) like (primers, bind, DNA strands). (postman, deliver, letter) like (DNA polymerase, synthesize, DNA strand)","The process of writing and posting a letter begins with a pen. Using the pen, one writes the letter on a piece of paper and places it in an envelope. A stamp is then affixed to the envelope to pay for the delivery of the letter. The letter is then placed in a mailbox and collected by a postman. The postman will then deliver the letter to its destination.","The process of replicating a DNA molecule begins with enzymes that unwind the double-stranded DNA molecule. Primers, small pieces of DNA, then bind to the DNA strands and create a starting point for the replication. DNA polymerase then synthesizes a new DNA strand, complementary to the original, allowing for the replication of the molecule."
136,779How do humans obtain and use resources?,779,How do plants obtain and use water?,Natural Sciences,Social Sciences,How do humans obtain and use resources?,Economics,"(roots, absorb, water) like (consumers, acquire, goods). (xylem, transport, water) like (businesses, distribute, products). (stomata, regulate, water intake) like (government, regulate, economic activities)","Plants obtain and use water through their roots. The roots absorb the water from the soil, and transport it to the rest of the plant using xylem vessels. The stomata, which are small pores on the leaves, help to regulate the water intake of the plant.","Humans obtain resources through various means. Consumers acquire goods through exchanges such as buying and trading. Businesses distribute products to consumers, and governments regulate economic activities such as taxes and tariffs. The resources obtained are then used in various ways, including manufacturing, consumption, and investment."
138,667Describe the process of oil extraction,667,Describe the process of desalination,Engineering,Engineering,Describe the process of oil extraction,Petroleum Engineering,"(seawater, desalinate, freshwater) like (crude oil, extract, petroleum products). (evaporator, boil, saline water) like (extraction well, pump, crude oil). (condenser, cool, vapor) like (refinery, process, petroleum products)",Desalination is the process of turning seawater into freshwater. This is done by evaporating the saline water and collecting the vapor produced. An evaporator is used to boil the saline water and produce vapor. The vapor is then cooled by a condenser to form freshwater. The condenser also collects the vapor produced in the evaporator to be reused in the process.,"Crude oil is extracted from the earth through an extraction well. The well pumps the crude oil to the surface, where it is then processed to create petroleum products. The petroleum products are then sent to a refinery, where they are processed further to create the desired products. This process of extraction and refinement creates the petroleum products we use in our daily lives."
145,637Describe the life cycle of a robot,637,Describe the life cycle of a bird,Natural Sciences,Engineering,Describe the life cycle of a robot,Robotics Engineering,"(egg, hatches, chick) like (program, activates, robot). (nest, provides, shelter) like (circuit, provides, power). (wing, enables, flight) like (motor, enables, movement)","The life cycle of a bird begins with an egg, which hatches into a chick. The nest provides the chick with shelter and protection while it grows. As it matures, the bird develops its wings which enable it to take flight. The bird can then begin to feed, reproduce, and migrate.","The life cycle of a robot begins with a program that activates the robot. A circuit then provides the power that is needed to operate the robot. The motor enables the robot to move and complete its task. The robot is then able to communicate with its environment, process information, and execute its instructions. Finally, when the robot has completed its task, it powers down and the cycle is complete."
162,842How does an antibody-antigen reaction work?,842,How does an electromagnet work?,Engineering,Biomedical and Health Sciences,How does an antibody-antigen reaction work?,Biomedical and Health Sciences,"(electromagnet, attracts, metallic objects) like (antibody, binds, antigen). (electric current, creates, magnetic field) like (immune response, generates, antibodies). (coil, increases, magnetic field strength) like (lymphocytes, enhances, immune response)","An electromagnet uses electric current to create a magnetic field which can attract metallic objects. The electric current flows through a coil of wire, which increases the strength of the magnetic field. The strength of the magnetic field created by the electric current is what causes the electromagnet to attract metallic objects.",An antibody-antigen reaction occurs when an antibody binds to an antigen. The body's immune response to a foreign substance generates antibodies that can recognize and bind to antigens. Lymphocytes are white blood cells that play a role in enhancing the body's immune response by producing antibodies that can recognize and bind to antigens.
163,1294Describe the typical steps in decision making.,1294,Describe the typical steps in making coffee.,Engineering,Social Sciences,Describe the typical steps in decision making.,Social Sciences,"(coffee beans, grind, powder) like (data, analyze, insights). (boiling water, pour, mug) like (ideas, discuss, team). (stirring, blend, ingredients) like (options, compare, merits). (add milk, mix, beverage) like (argument, evaluate, conclusion)","Making coffee typically involves grinding coffee beans into a fine powder. After that, boiling water is poured into a mug and the ground coffee is added. Stirring is usually necessary to blend the two ingredients together. Some people prefer to add milk and mix it into the beverage for a creamier taste.","Decision making typically involves gathering data, analyzing it to gain insights, discussing ideas with a team, comparing options to evaluate their merits, and making an argument to reach a conclusion."
166,1290Describe how to conduct a survey.,1290,Describe how to make pancakes.,Engineering,Social Sciences,Describe how to conduct a survey.,Social Sciences,"(mix, combine, ingredients) like (ask, combine, questions). (stir, blend, together) like (analyze, blend, data). (pour, create, batter) like (collect, create, feedback)","To make pancakes, start by mixing together the ingredients until they are properly combined. Then, stir the mixture together to blend the ingredients. Once the batter is ready, pour it onto a hot skillet to create pancakes.","When conducting a survey, it is important to ask the right questions in order to combine the relevant data for analysis. The questions should be designed to blend the data together and provide useful insight. Once the survey is completed, the collected data should be used to create feedback and help improve the process."
173,1066How does a solar panel system work?,1066,Describe the life cycle of a mushroom.,Natural Sciences,Engineering,How does a solar panel system work?,Electrical Engineering,"(spores, spread, new environment) like (photons, travel through, solar cell). (fungus, grow, larger) like (electricity, generated, higher voltage). (hyphae, establish, network) like (electric current, flows, circuit)","The life cycle of a mushroom begins with spores that spread to a new environment. Once the spores settle, the fungus will begin to grow and become larger. The fungus will then produce hyphae, which establish a network of hyphae that form the body of the mushroom. The hyphae will grow and reproduce, resulting in the production of more mushrooms.","The solar panel system works by absorbing photons from the sun. These photons travel through a solar cell and are then converted into electrical energy. This electricity is generated at a higher voltage than a battery and is used to power devices. The electric current then flows through the circuit, allowing the device to be powered."
176,1207Describe the steps in how a person learns a new behavior,1207,Describe the steps in how a cut on your hand is treated and heals,Biomedical and Health Sciences,Social Sciences,Describe the steps in how a person learns a new behavior,Social Psychology,"(wound, heals, skin) like (behavior, learns, person). (blood, coagulates, cut) like (experience, reinforces, behavior). (antibiotics, prevent, infection) like (reward, encourages, learning)","When your skin is cut, the wound will begin to heal. First, the blood at the wound site will coagulate to stop the bleeding. This will also prevent further damage to the wound. To promote healing, antibiotics may be applied to the area to prevent infection. As the wound heals, the skin will start to come together and form a scar.","A person learns a new behavior by experiencing it and then reinforcing it. Each successful experience of the behavior increases the likelihood of it being repeated. Additionally, rewards can be used to encourage learning by providing positive reinforcement. By associating the reward with the behavior, the person is more likely to continue the behavior."
181,1273How does a robotic arm function?,1273,How does pollination happen?,Natural Sciences,Engineering,How does a robotic arm function?,Robotics Engineering,"(bees, transfer, pollen) like (robotic arm, transfer, object). (flower, collects, pollen) like (gripper, collects, item). (pollen, fertilizes, plant) like (item, manipulates, environment)","Pollination is the process of transferring pollen from one flower to another. Bees play an important role in this process as they transfer pollen from one flower to another. The flower collects the pollen, which is then moved to the pistil of another flower. Once the pollen arrives at the pistil it fertilizes the plant, allowing it to produce fruit and seeds.","A robotic arm is a mechanical device that is able to transfer an object from one location to another. The arm is equipped with a gripper that is able to collect the item. This item is then manipulated by the robotic arm in order to interact with the environment, such as placing it on a table or moving it to a different location."
183,433How does a body's immune system work?,433,How do you grow vegetables?,Natural Sciences,Biomedical and Health Sciences,How does a body's immune system work?,Biomedical and Health Sciences,"(soil, provides, nutrients) like (blood, provides, antibodies). (sunlight, enables, photosynthesis) like (lymphocytes, enable, immunity). (water, helps, plant growth) like (antibodies, help, fight disease)","Growing vegetables requires a combination of soil, sunlight, and water. The soil provides the necessary nutrients for the plants to grow. Sunlight allows the process of photosynthesis to occur, which is essential for the growth of the vegetables. Finally, water helps to keep the plants hydrated and helps in their growth.","The body's immune system is designed to fight off foreign invaders. Blood provides antibodies which help to fight off diseases and other foreign substances. Lymphocytes are the cells that enable immunity, as they are responsible for recognizing and destroying foreign substances. The antibodies found in the blood help to fight off diseases by binding to the foreign invaders, thus preventing them from entering the body."
188,293How does a political system work?,293,What happens during respiration?,Biomedical and Health Sciences,Social Sciences,How does a political system work?,Political Science,"(oxygen, enters, the bloodstream) like (information, enters, the public discourse). (carbon dioxide, is released, from the lungs) like (ideas, are released, from the media). (energy, is produced, from respiration) like (power, is produced, from the political system)","During respiration, oxygen enters the bloodstream, while carbon dioxide is released from the lungs. This process allows the body to take in oxygen and expel carbon dioxide. In addition, energy is produced from respiration as oxygen is used to break down glucose to release energy.","The political system is based on the exchange of information. This information enters the public discourse by way of ideas released from the media. Through the public discourse, power is produced from within the political system. This power helps to shape the decisions that are made by the public and the government."
195,511How does the immune system respond to an infection?,511,How do solar eclipses occur?,Natural Sciences,Biomedical and Health Sciences,How does the immune system respond to an infection?,Biomedical and Health Sciences,"(sun, blocks, light) like (antibodies, block, pathogens). (moon, passes, shadow) like (macrophages, remove, debris). (Earth, experiences, darkness) like (lymphocytes, fight, invaders)","A solar eclipse occurs when the sun and the moon line up in such a way that the sun blocks the light from the moon. The moon then passes its shadow onto the Earth, causing a portion of the Earth to experience darkness. As the moon continues in its orbit, the shadow passes and the Earth is illuminated again.","The immune system responds to an infection by releasing antibodies that bind to the invading pathogens and block them from entering the body. Macrophages are also released to patrol the body and remove any debris or pathogens. Additionally, lymphocytes are sent to fight off the foreign invaders. All of these processes work together to protect the body from infection."
198,1014Describe how to create a vaccine.,1014,Describe how to make a cake.,Engineering,Biomedical and Health Sciences,Describe how to create a vaccine.,Biomedical and Health Sciences,"(flour, mix with, sugar) like (antigens, mix with, adjuvant). (butter, melt, in bowl) like (antibodies, form, in body). (egg, whisk, until light) like (vaccine, administer, to patient)","To make a cake, start by mixing flour with sugar in a large bowl. After that, melt butter in a separate bowl. Once the butter is melted, add it to the flour and sugar mixture. Whisk an egg until it is light, and then add it to the mixture. Stir until all the ingredients are thoroughly combined.","Creating a vaccine involves combining antigens with an adjuvant. Once administered to the patient, this mixture stimulates the body to form antibodies that are specific to the antigens. The antibodies are then able to recognize and respond to the antigens if they are encountered again in the future, providing immunity. The vaccine is then administered to the patient, allowing the body to develop the necessary antibodies to protect against the antigens."
202,1184How does an economic system produce wealth?,1184,How does does a battery produce electricity?,Engineering,Social Sciences,How does an economic system produce wealth?,Economics,"(battery, produces, electrical energy) like (economic system, produces, wealth). (electrons, flow through, copper wire) like (resources, flow through, market). (resistor, decreases, voltage rate) like (taxation, decreases, consumer spending)","A battery produces electrical energy when the chemical reaction occurring inside it releases electrons. The electrons flow through the copper wire, creating an electric current. When electrons pass through a resistor, the resistance of the resistor decreases the voltage rate. This is how a battery produces electricity.","An economic system produces wealth by allowing resources to flow through the market. The resources are allocated to different sectors of the economy, allowing for efficient production. In addition, taxation can be used to regulate the flow of resources and decrease consumer spending to help manage the economy."
209,1065Describe the life cycle of a car.,1065,Describe the life cycle of a mushroom.,Natural Sciences,Engineering,Describe the life cycle of a car.,Automotive Engineering,"(spore, germinate, mushroom) like (spark plug, ignites, engine). (roots, absorb, nutrients) like (tires, absorb, road shock). (fruiting body, releases, spores) like (exhaust pipe, releases, exhaust gases)",The life cycle of a mushroom begins with a spore. The spore germinates and grows into a mushroom. The mushroom has a root system that helps it to absorb nutrients from the environment. The mushroom then produces a fruiting body that releases spores. These spores are then released into the environment and the cycle begins again.,"The life cycle of a car begins with the spark plug that ignites the engine. From there, the tires absorb road shock to ensure comfort for the driver. As the car is driven, the exhaust pipe releases exhaust gases from the engine. The process then repeats itself as the car is driven again."
211,772How does the immune system work?,772,How do lungs work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the immune system work?,Biomedical and Health Sciences,"(lungs, absorb, oxygen) like (immune system, defend, body). (alveoli, exchange, gases) like (antibodies, destroy, pathogens). (diaphragm, contract, chest cavity) like (T cells, recognize, foreign bodies)","The lungs are responsible for absorbing oxygen from the air and exchanging this oxygen for carbon dioxide. The process of exchanging oxygen and carbon dioxide occurs in the alveoli, tiny balloon-like structures found in the lungs. To facilitate this exchange, the diaphragm contracts and relaxes creating a vacuum in the chest cavity. This vacuum allows air to enter the lungs and the exchange of gases to take place.","The immune system works to defend the body against foreign bodies, such as viruses and bacteria. Antibodies produced by the body help to destroy these pathogens. T cells are also an important part of the immune system, as they recognize and respond to foreign bodies. They then help to launch an attack against any invading pathogens."
213,458How does a car engine work?,458,How does acid rain form?,Natural Sciences,Engineering,How does a car engine work?,Automotive Engineering,"(nitrogen oxides, react with, water vapor) like (fuel, react with, air). (sulfur dioxide, combine with, oxygen) like (spark plug, combine with, gasoline). (acid, created by, burning of fossil fuels) like (combustion, created by, ignition of fuel)","Acid rain is formed when nitrogen oxides and sulfur dioxide react with water vapor in the atmosphere. Sulfur dioxide combines with oxygen and is converted into sulfuric acid. Nitrogen oxides are converted into nitric acid. Both of these acids, when combined with moisture, create acid rain. The acid is created by the burning of fossil fuels, such as coal and oil, which release sulfur dioxide and nitrogen oxides into the air.","A car engine works by mixing fuel with air. The fuel and air then combine with a spark plug, which ignites the gasoline. This causes a combustion, which is created by the ignition of the fuel. The combustion produces a large amount of energy that is used to power the car."
