,sample_id,source_paragraph,target_paragraph,ground_truth,type
47,377Describe how air moves through a ventilation system,"Oxygen reaches cells in the body when it diffuses across cell membranes.
  This process begins when the lungs inhale oxygen and transport it through the circulatory system via capillaries.
  The capillaries then deliver the oxygen to the cells, where it can be used in metabolic reactions."," Air first diffuses through the ducts of a ventilation system. The ducts then transport the air from one room to another, allowing for efficient circulation throughout the space. After the air has been transported, the fan inhales the air, creating a vacuum that pulls the air through the ducts, disrupting the logical process of air circulation.",0,distractor
48,880How does snow form?,"Rain occurs when evaporation increases the humidity of the air.
 As the humidity increases, the water vapor rises into the atmosphere.
 Once the water vapor has risen high enough, the temperature decreases and the air becomes saturated with water vapor, causing it to condense and form clouds.
 When the clouds become heavy enough, the rain falls.","Snow forms when condensation increases the moisture in the atmosphere.
 Water droplets rise in the atmosphere until the temperature drops to the freezing point.
 At this point, the water droplets freeze and form snow.
 The decrease in temperature causes the water droplets to reach their freezing point, leading to the formation of snow.",1,close analogy
49,1218How does a community of people form?,"Forests form when seeds germinate and grow into trees.
  The trees need sunlight to provide them with the necessary nutrients to grow.
  The soil is also important as it helps to support the trees' root systems.
  Without both sunlight and soil, the trees would not have the conditions they need to survive and grow."," Ideas develop into social structures. Culture then supports these beliefs, providing a platform for them to grow and evolve. Afterward, a community of people forms around similar beliefs. Finally, the media provides information that helps shape these beliefs, even though they have already been supported by culture and formed a community.",0,distractor
50,301How do you use a Segway?,"To use a skateboard, you need to propel it forward with your foot.
 You should also use your bodyweight and balance to control the skateboard.
 When you want to turn, you can use the handle to steer the skateboard in the desired direction.","A Segway is a two-wheeled, self-balancing personal transporter that is propelled by an electric motor. The Segway is designed to maintain balance using two gyroscopes and a set of sensors. To steer the Segway, a rider leans in the direction they want to go and uses a joystick on the handlebars to control the speed.",1,close analogy
51,1266How does a spider weave a web?,"A bird builds a nest by first collecting twigs from its environment. 
 The bird then shapes the twigs to form a structure that can support it. 
 After forming the structure, the bird assembles the twigs to create the nest. 
 Finally, the bird secures the twigs together to make the nest sturdy and safe."," The spider begins by assembling the silk strands into the web pattern and uses glue to secure the strands in place. After the web is assembled, the spider collects the silk strands from its spinnerets and shapes them into the desired form. Finally, the spider completes the web by adding more silk strands, reinforcing the structure and creating a strong, intricate web.",0,distractor
52,518Describe the life cycle of a butterfly,"The life cycle of a fish begins with an egg, which hatches into a tadpole. The tadpole develops into an adult fish, which is capable of laying eggs of its own. The adult lays eggs, which begin the life cycle again. The cycle continues as the eggs hatch into tadpoles and develop into adults, which then lay eggs.","The life cycle of a butterfly starts with the egg.
  The egg hatches into a larva, which is also known as a caterpillar.
  The caterpillar feeds and grows, then develops into an adult butterfly.
  The adult butterfly then mates and lays eggs, completing the life cycle.",1,close analogy
53,1051How does corrosion occur in metal parts?,"Rust is the result of a reaction between oxygen and iron atoms.
 When oxygen reacts with iron, it forms iron oxide, which is commonly known as rust.
 The presence of water can accelerate the oxidation process, causing rust to form more quickly.","Corrosion in metal parts is caused by a reaction between electrolytes and metal ions.
 The reaction between these two materials generates corrosion products that form corrosion.
 Moisture can accelerate this corrosion process as it often contains electrolytes that can react with the metal ions.",1,close analogy
54,318What happens during the aging process?,"Weathering is the process of breaking down rocks, minerals, and organic matter. Wind erodes rocks, rain dissolves minerals, and sunlight breaks down organic matter. All of these processes contribute to the gradual breakdown of surfaces and the formation of soils.","Water evaporates from the earth.
The evaporated water condenses into water drops.
The water drops fall back to earth.
The water accumulates on the earth.
The water collects into bodies of water.
The water soaks into the earth.",0,random
55,135How do whales use sonar?,"Bats use echolocation to navigate and locate prey.
  They emit ultrasound waves which bounce off objects and return back to the bats as echoes.
  The bats then receive these echoes and interpret the sound waves.
  They use the echoes to determine the size, shape and distance of their prey and surroundings.","Whales use sonar in order to navigate their environment. They emit sound waves which travel through the water and bounce off of objects in the environment. The whales receive echoes from the objects and interpret them to determine the location and composition of the objects. By doing this, whales can map out their surroundings and find food.",1,close analogy
56,165How does the digestive system break down food?,The stomach is responsible for digesting food. It contains powerful enzymes that break down proteins into their component parts. The stomach acid also helps to kill any harmful bacteria which may be found in the food. The combination of these processes helps to break down the food into molecules that can be absorbed by the body.," Gastric acid is released in the stomach which helps to break down food further and also kills any potential pathogens. Following this, the digestive system breaks down food to absorb its nutrients. This process is then facilitated by enzymes which break down carbohydrates, proteins, and fats.",0,distractor
57,43How does a smokestack form?,"Rain forms when moisture condenses in the atmosphere.
  Air rises as it heats up, causing the moisture in the air to condense into clouds.
  When the air reaches its dew point, its temperature drops and causes the moisture to form droplets.
  The droplets gather and become heavy enough to fall as rain.","Seeds are sown into the ground.
The earth where the seeds are planted is given water and fertilizer.
The seeds start to grow and become seedlings.
The plants are given water.
The seedlings grow into plants.
Weeds growing near the plants are removed.
The plants grow to maturity.",0,random
58,1136How do submarines navigate in the dark?,"Owls have adapted to hunt at night by using their vision. They have excellent vision, allowing them to detect their prey in dim light. They also fly silently, which helps them to sneak up on their prey without being noticed. By using their vision and flying silently, owls are able to locate and capture prey in the dark."," Submarines use sonar to detect objects around them in the dark. This allows submarines to detect objects in the water, even in darkness. Submarines also use this sonar to move silently, as the sound waves can be used to detect changes in the environment and help the submarine to navigate. After all these, sonar works by sending sound waves out into the environment and listening for the echoes that come back.",0,distractor
59,7What causes an earthquake to occur?,"A volcano erupts when magma builds up pressure beneath the surface.
  The pressure causes the magma to force its way up through the volcano, releasing heat in the process.
  The combination of pressure and heat leads to the eruption of the volcano.","Plants start growing on or near the rocks.
The roots of the growing plants start to break up the rock.
The plant acids dissolve the rock.
The rock is broken down into smaller pieces.
Erosion begins.",0,random
60,830How do bacteria cause infection?,"A virus is a microorganism that invades cells and replicates itself.
 The virus reproduces itself within the cells, using the cell's resources to make more copies of itself.
 This process can cause damage to the cell, resulting in disease. The virus is responsible for the disease, as it causes the cells to malfunction or die.","The planter must select a crop.
The soil is prepared properly for that specific crop.
Fertilizer is added to the soil.
Seeds are planted in the field.
Irrigation is set up to keep the crops properly watered.
The crops grow.
The crops are harvested.",0,random
